43 43
(16, 3, 1.5) (26, 3, 1.5) (21, 3, 1.5) 
(16, 39, -1.5) (26, 39, -1.5) (21, 39, -1.5) 
WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA 
WA IH NO NO NO NO NO NO NO NO NO O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 NO NO NO NO NO NO NO NO NO IH WA 
WA NO NO NO NO NO NO NO NO NO NO O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA WA WA WA WA WA WA WA WA WA WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO B0 NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA WA WA WA WA WA WA WA WA WA WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
